% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.555	1	1	56	6	2	18	4107	0	0
0.565	1	1	57	6	2	18	1980	0	0
0.565	1	2	57	6	3	22	2769	0	0
0.567	1	4	57	8	4	18	4107	0	0
0.57	1	1	58	1	2	18	4107	0	0
0.575	1	2	58	6	3	22	5861	0	0
0.577	1	4	58	8	4	18	4107	0	0
0.58	1	2	59	1	3	22	5861	0	0
0.582	1	4	59	3	4	18	4107	0	0
0.614	1	3	62	5	1	20	4904	0	0
0.624	1	3	63	5	1	20	4904	0	0
0.629	1	3	63	10	1	20	4904	0	0
0.63	1	1	64	1	2	18	4107	0	0
0.64	1	1	65	1	2	18	1980	0	0
0.64	1	2	65	1	3	22	2769	0	0
0.641	1	1	65	2	2	18	4107	0	0
0.642	1	4	65	3	4	18	4107	0	0
0.649	1	1	65	10	2	18	4107	0	0
0.65	1	2	66	1	3	22	5861	0	0
0.652	1	4	66	3	4	18	4107	0	0
0.655	1	2	66	6	3	22	5861	0	0
0.657	1	4	66	8	4	18	4107	0	0
